ID1,CASEID,HHID,V001,V002,V003,V004,V007,V008,V009,V010,V011,V012,V013,V014,V015,V017,V018,V019,V019A,V020,V021,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V040,V042,V043,V044,V000,Q105DD,V101,V102,V103,V104,V105,V106,V107,V113,V115,V116,V119,V120,V121,V122,V123,V124,V125,V127,V128,V129,V130,V131,V133,V134,V135,V136,V137,V138,V139,V140,V141,V149,V150,V151,V152,V153,AWFACTT,AWFACTU,AWFACTR,AWFACTE,AWFACTW,V155,V156,V157,V158,V159,V160,V161,V166,V167,V168,ML101,QD333_1,QD333_2,QD333_3,QD333_4,QD333_5,QD333_6,UBIGEO,V022,V005,V190,V191,mujeres12a49
2024,      504210601  4,      504210601,5042,106,4,5042,2024,1495,1,2008,1297,16,1,1,1,1429,14,67,4,0,5042,9,9,1,1,1,0,0,0, ,0, , ,3719,1,0,1,PE6,5,9,1,0,95, ,2,4,11,996,11,1,1,1,0,0,0,0,34,31,31, ,10,10,1,1,5,1,2,9,1,1,3,3,1,49,0,100,100,100,100,100,2, ,2,3,1,0,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.669668142095043,2
2024,      504212501  2,      504212501,5042,125,2,5042,2024,1495,9,1978,946,45,7,1,1,1429,14,67,4,0,5042,9,9,1,1,5,0,0,0, ,0, ,1,3719,1,0,1,PE6,23,9,1,3,30,3,2,5,11,996,11,1,1,1,1,1,0,0,34,31,31, ,10,11,1,1,5,2,2,9,1,1,4,2,1,44,0,100,100,100,100,100,2, ,2,3,1,0,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.608702275641517,2
2024,      504212501  4,      504212501,5042,125,4,5042,2024,1495, , , , , , ,4,1429,0,0,0,0,5042,9,9,1,1,5,0,0,0, ,0, , ,3719,1,0,0,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,090118,78,0,3,.608702275641517, 
2024,      504300401  3,      504300401,5043,4,3,5043,2024,1497,4,1985,1025,39,5,1,1,1429,12,69,4,0,5043,9,9,1,2,5,0,0,0, ,0, ,0,3201,1,0,1,PE6,30,9,1,2,0,3,3,3,11,996,11,1,0,1,0,0,0,0,11,21,33, ,10,14,2,1,6,2,1,9,1,2,5,8,2,52,0,100,100,100,100,100,2, ,1,1,3,0,2,994, , , ,2,2,2,2,2,2,090103,83,133482,2,-.0612215657063447,2
2024,      504300901  2,      504300901,5043,9,2,5043,2024,1497,10,1975,910,48,7,1,1,1429,12,69,4,0,5043,9,9,1,2,1,0,0,0, ,0, ,1,3201,1,0,1,PE6,8,9,1,3,30,3,2,2,11,996,11,1,0,1,0,0,0,1,21,21,34, ,10,8,2,1,4,0,2,9,1,2,3,2,1,48,0,100,100,100,100,100,2, ,1,1,1,0,8,994, , , ,2,2,2,2,2,2,090103,83,706081,2,.0363847417686675,2
2024,      504300901  3,      504300901,5043,9,3,5043,2024,1497,4,1999,1192,25,3,1,1,1429,12,69,4,0,5043,9,9,1,2,2,0,0,0, ,0, , ,3201,1,0,0,PE6,19,9,1,1,95, ,3,1,11,996,11,1,0,1,0,0,0,1,21,21,34, ,10,12,2,1,4,0,2,9,1,2,5,3,1,48,0,100,100,100,100,100,2, ,2,3,1,0,8,994, , , ,2,2,2,2,2,2,090103,83,706081,2,.0363847417686675,2
2024,      504303101  2,      504303101,5043,31,2,5043,2024,1497,1,1995,1141,29,3,1,1,1429,12,69,4,0,5043,9,9,1,2,1,0,0,0, ,0, ,1,3201,1,0,1,PE6,7,9,1,2,95, ,2,5,11,996,11,1,1,1,0,0,1,0,34,21,34, ,10,11,2,1,4,1,1,9,1,2,4,2,1,36,0,100,100,100,100,100,2, ,3,3,3,0,2,994, , , ,2,2,2,2,2,2,090103,83,133482,2,-.165887458182192,2
2024,      504304001  2,      504304001,5043,40,2,5043,2024,1497,7,1991,1100,33,4,1,1,1429,12,69,4,0,5043,9,9,1,2,2,0,0,0, ,0, ,1,3201,1,0,1,PE6,21,9,1,3,6,0,2,5,11,996,11,1,0,0,0,0,0,0,21,21,34, ,1,11,2,1,4,2,1,9,1,2,4,2,1,44,0,100,100,100,100,100,2, ,3,1,1,0,2,994, , , ,2,2,2,2,2,2,090103,83,133482,2,-.355396876660515,2
2024,      504305301  2,      504305301,5043,53,2,5043,2024,1497, , , , , , ,4,1429,0,0,0,0,5043,9,9,1,2,3,0,0,0, ,0, , ,3201,1,0,3,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,090103,83,0,2,.20300975494089, 
2024,      504306501  2,      504306501,5043,65,2,5043,2024,1497,1,1985,1021,39,5,1,1,1429,12,69,4,0,5043,9,9,1,2,3,0,0,0, ,0, ,1,3201,1,0,1,PE6,6,9,1,2,20,2,2,5,11,996,11,1,1,1,0,1,0,1,34,21,34, ,10,11,2,1,5,1,1,9,1,2,4,2,1,54,0,100,100,100,100,100,2, ,1,2,2,0,8,994, , , ,2,2,2,2,2,2,090103,83,133482,2,.0488147721367237,2
2024,      504306901  2,      504306901,5043,69,2,5043,2024,1497,4,1989,1072,35,5,1,1,1429,12,69,4,0,5043,9,9,1,2,1,0,0,0, ,0, ,1,3201,1,0,1,PE6,15,9,1,3,12,3,2,4,11,996,11,1,1,1,0,0,0,0,34,21,33, ,10,10,2,1,5,1,2,9,1,2,3,2,1,42,0,100,100,100,100,100,2, ,1,3,3,0,8,994, , , ,2,2,2,2,2,2,090103,83,133482,2,-.291773780245922,2
2024,      504306901  3,      504306901,5043,69,3,5043,2024,1497,10,2008,1306,15,1,1,1,1429,12,69,4,0,5043,9,9,1,2,1,0,0,0, ,0, , ,3201,1,0,0,PE6,15,9,1,2,12,3,2,3,11,996,11,1,1,1,0,0,0,0,34,21,33, ,10,9,2,1,5,1,2,9,1,2,3,11,1,42,0,100,100,100,100,100,2, ,2,3,3,0,8,994, , , ,2,2,2,2,2,2,090103,83,133482,2,-.291773780245922,2
2024,      504400201  2,      504400201,5044,2,2,5044,2024,1498,7,1992,1112,32,4,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, ,1,3768,1,0,1,PE6,31,9,2,2,9,2,1,6,11,996,11,1,0,0,0,0,0,0,34,21,34, ,10,6,3,1,5,1,1,9,2,3,2,2,1,29,0,100,100,100,100,100,2,0,2,2,2,0,8,995, , , ,2,2,2,2,2,2,090710,85,203458,1,-.922900798614699,2
2024,      504400701  1,      504400701,5044,7,1,5044,2024,1498,1,1998,1177,26,3,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, ,2,3768,1,0,1,PE6,11,9,2,1,0,1,3,3,11,996,11,1,0,0,0,0,0,0,11,21,34, ,10,14,3,1,3,1,1,9,2,3,5,1,2,26,0,100,100,100,100,100,2, ,1,1,1,0,2,15, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.0468109792751,2
2024,      504401101  2,      504401101,5044,11,2,5044,2024,1498,5,1994,1134,30,4,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, ,1,3768,1,0,1,PE6,27,9,2,2,95, ,1,6,11,996,22,1,0,0,0,0,0,0,34,31,31, ,10,6,3,1,4,1,1,9,2,3,2,2,1,32,0,100,100,100,100,100,2,0,0,0,1,0,2,15, , , ,2,2,2,2,2,2,090710,85,203458,2,-.215983029773068,2
2024,      504401101  3,      504401101,5044,11,3,5044,2024,1498,1,2012,1346,12,0,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, , ,3768,1,0,0,PE6,25,9,2,2,95, ,1,6,11,996,22,1,0,0,0,0,0,0,34,31,31, ,10,6,3,1,4,1,1,9,2,3,2,3,1,32,0,100,100,100,100,100,2,0,1,0,1,0,2,15, , , ,2,2,2,2,2,2,090710,85,203458,2,-.215983029773068,0
2024,      504401501  1,      504401501,5044,15,1,5044,2024,1498,2,1990,1083,34,4,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, , ,3768,1,0,1,PE6,21,9,2,2,16,0,2,4,11,996,23,1,1,1,0,0,0,0,11,21,34, ,10,10,3,1,3,1,1,9,2,3,3,1,2,34,0,100,100,100,100,100,2, ,1,1,1,0,8,7, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.28544635473441,2
2024,      504402201  2,      504402201,5044,22,2,5044,2024,1498,4,1997,1168,27,3,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, ,1,3768,1,0,1,PE6,4,9,2,2,1,2,1,6,12,5,12,1,0,0,0,0,0,0,11,21,34, ,10,6,3,1,4,2,1,9,2,3,2,2,1,26,0,100,100,100,100,100,2,1,1,1,3,1,8,30, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.30218097792031,2
2024,      504404001  2,      504404001,5044,40,2,5044,2024,1498,6,1984,1014,40,6,1,1,1429,11,70,4,0,5044,9,9,2,3,5,0,0,0, ,0, ,1,3768,1,0,0,PE6,3,9,2,3,95, ,2,5,11,996,11,1,1,1,0,0,0,0,11,21,33, ,10,11,3,1,5,1,2,9,2,3,4,2,1,38,0,100,100,100,100,100,2, ,3,2,1,0,9,30, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.07007301083658,2
2024,      504404001  3,      504404001,5044,40,3,5044,2024,1498,8,2007,1292,17,1,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, , ,3768,1,0,1,PE6,7,9,2,2,95, ,2,4,11,996,11,1,1,1,0,0,0,0,11,21,33, ,10,10,3,1,5,1,2,9,2,3,3,3,1,38,0,100,100,100,100,100,2, ,1,1,1,0,9,30, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.07007301083658,2
2024,      504404801  2,      504404801,5044,48,2,5044,2024,1498,2,2002,1226,22,2,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, ,1,3768,1,0,1,PE6,13,9,2,2,4,2,2,5,11,996,23,1,1,1,0,0,1,0,21,21,33, ,10,11,3,1,3,1,1,9,2,3,4,2,1,25,0,100,100,100,100,100,2, ,3,1,2,0,8,15, , , ,2,2,2,2,2,2,090710,85,203458,1,-1.06515991979755,2
2024,      504405801  2,      504405801,5044,58,2,5044,2024,1498,12,1997,1176,26,3,1,1,1429,11,70,4,0,5044,9,9,2,3,2,0,0,0, ,0, ,1,3768,1,0,1,PE6,8,9,2,3,95, ,2,3,11,996,32,1,0,1,0,0,0,0,34,31,34, ,10,9,3,1,4,2,1,9,2,3,3,2,1,27,0,100,100,100,100,100,2, ,1,3,1, ,8,994, , , ,2,2,2,2,2,2,090710,85,203458,1,-.755218882992427,2
2024,      504407301  2,      504407301,5044,73,2,5044,2024,1498,4,1998,1181,26,3,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, ,1,3768,1,0,1,PE6,26,9,2,2,95, ,2,5,11,996,11,1,0,1,0,0,0,0,34,31,31, ,10,11,3,1,4,1,1,9,2,3,4,2,1,28,0,100,100,100,100,100,2, ,1,1,1,0,8,15, , , ,2,2,2,2,2,2,090710,85,203458,2,-.249600145999312,2
2024,      504407601  2,      504407601,5044,76,2,5044,2024,1498,9,2002,1233,22,2,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, ,1,3768,1,0,1,PE6,11,9,2,2,1,2,3,3,11,996,11,1,1,1,0,0,0,0,34,31,31, ,1,14,3,1,3,1,1,9,2,3,5,2,1,27,0,100,100,100,100,100,2, ,2,3,2,0,8,7, , , ,2,2,2,2,2,2,090710,85,203458,2,-.199077189671792,2
2024,      504408001  1,      504408001,5044,80,1,5044,2024,1498,3,1995,1144,29,3,1,1,1429,11,70,4,0,5044,9,9,2,3,1,0,0,0, ,0, ,0,3768,1,0,1,PE6,29,9,2,2,95, ,2,5,11,996,11,1,0,0,0,0,0,0,34,31,31, ,10,11,3,1,3,2,1,9,2,3,4,1,2,29,0,100,100,100,100,100,2, ,2,0,1,0,8,994, , , ,2,2,2,2,2,2,090710,85,203458,2,-.323789181434256,2
